IRAK2	ARAF	0.75
CDK1	JAK3	0.63
EGFR	ROR1	0.72
PAK6	CDK1	0.63
EGFR	CDK1	0.9
BRAF	BRAF	0.9
BRAF	PAK2	0.63
AURKA	AURKA	0.84
CDK20	MAK	0.72
BRD4	BRD3	0.89
CDK2	CDK15	0.72
CDK1	LATS1	0.89
CDK1	AURKB	0.65
EPHA2	CDK17	0.63
CDK19	CDK8	0.8
BRAF	LIMK1	0.72
BRAF	ARAF	0.9
CDK7	CDK9	0.76
BRAF	RAF1	0.88
IRAK3	IRAK4	0.63
EPHA7	EPHA3	0.86
EPHA7	EPHA2	0.85
MLKL	RIPK3	0.88
LRRK2	DAPK1	0.72
PAK1	LRRK2	0.56
ERBB3	ROR1	0.63
LRRK1	DAPK1	0.72
LRRK1	LRRK2	0.82
LRRK1	LRRK1	0.89
CDK1	CDK1	0.73
EGFR	RIOK1	0.73
LATS2	AURKB	0.65
CDK1	BUB1	0.52
PINK1	PRKDC	0.73
ICK	CDC7	0.63
LRRK2	RIPK2	0.52
LRRK2	RIPK1	0.72
BMPR2	TRIB3	0.72
LRRK2	STK24	0.52
CDK20	ICK	0.65
GRK5	STK38	0.63
EGFR	JAK1	0.63
CDK2	CDK1	0.82
PIM1	PIM1	0.52
LATS1	RAF1	0.63
AURKA	GSK3B	0.73
GRK5	BAZ1A	0.63
ABL1	BMP2K	0.63
GRK5	SRPK1	0.63
LRRK2	PRKDC	0.83
BMX	BMX	0.73
MARK3	MARK3	0.76
PIM1	MARK3	0.89
STK11	SIK1	0.52
TBK1	SRC	0.63
SGK1	WNK4	0.65
LYN	FGFR2	0.63
FYN	FGFR2	0.63
WNK2	SGK1	0.63
LATS1	MAST2	0.63
AURKA	LATS2	0.86
GRK5	PRKDC	0.63
LRRK2	STK25	0.52
FYN	FRK	0.63
LRRK2	STK3	0.52
LATS1	AURKB	0.52
CDK2	PRKDC	0.73
ULK1	MTOR	0.87
CDK1	WEE1	0.63
BUB1B	PLK1	0.86
CDK20	CDK2	0.52
GRK5	BCR	0.63
MARK2	PINK1	0.73
EPHB6	EPHB4	0.63
CDK8	CDK8	0.84
MAK	MAK	0.75
AKT1	WNK4	0.52
STK3	LATS1	0.76
PLK3	BUB1B	0.68
TEX14	TEX14	0.63
LRRK2	TAOK3	0.52
WNK1	SGK1	0.73
CDK7	CDK6	0.52
KSR1	KSR1	0.63
STK11	GSK3B	0.63
AURKB	BUB1B	0.63
TTK	CDK2	0.52
PLK3	AURKA	0.56
CDK2	LATS2	0.52
GRK5	AKT2	0.63
KSR1	BRAF	0.72
CDK9	CDK15	0.72
EGFR	HCK	0.88
STK4	CDK3	0.72
KSR2	BRAF	0.14
STK25	TAOK1	0.88
AURKA	SRPK2	0.7
ILK	RAF1	0.87
CDK4	CDK6	0.88
SRPK1	CLK4	0.7
STK3	CDK3	0.72
SLK	SLK	0.84
DYRK2	DYRK4	0.79
CDK5	CDK18	0.72
LIMK1	SRPK1	0.7
SRPK1	CDK7	0.83
CSK	FRK	0.87
CDK9	FGFR1	0.72
SRPK1	PAK4	0.7
STYK1	GSK3B	0.14
CDK20	CDK12	0.72
ERBB2	SRPK1	0.7
HIPK4	ARAF	0.72
CDK5	DCLK3	0.85
CDK6	CDKL3	0.72
SRPK2	CLK3	0.89
PHKG2	PRKDC	0.72
SRPK2	CLK1	0.85
PAK1	PAK2	0.95
NLK	PASK	0.72
ILK	PRKDC	0.88
ABL1	SRPK2	0.7
MKNK2	SRPK1	0.68
CDK4	CDK13	0.86
SRPK1	AURKA	0.7
EPHA3	SRPK1	0.7
CDK2	CDK13	0.86
SRPK2	CDK7	0.83
LRRK2	SRPK1	0.72
CDK5	CDK3	0.87
AURKC	SRPK1	0.7
CDK2	CDK3	0.94
SRPK1	SRPK3	0.88
SRPK2	VRK1	0.7
SRPK1	PDPK1	0.7
PAK4	SRPK2	0.7
CDK9	CDK12	0.82
CLK1	SRPK1	0.7
CDK9	FGFR4	0.72
ERN1	SRPK2	0.7
CDKL3	SRPK1	0.7
BRD3	SRPK2	0.85
FGFR1	PTK6	0.49
ACVR1	ACVR1	0.65
STK24	CSK	0.63
EGFR	ATR	0.63
CDK1	CDK7	0.81
RIOK2	SYK	0.63
CDK9	PRKDC	0.74
LATS1	PLK1	0.63
ILK	AURKB	0.63
RIOK2	RIOK2	0.7
FGFR1	ITK	0.49
CDK5	PLK1	0.63
ILK	IRAK1	0.63
CLK2	AKT1	0.7
EGFR	PRKDC	0.73
STK3	AURKA	0.63
AKT1	CSK	0.82
CDK9	ULK1	0.63
PHKG2	PAK1	0.63
LYN	PAK1	0.63
PHKG2	PHKG2	0.63
MELK	MELK	0.52
CDK13	CDK12	0.87
ILK	SIK2	0.63
AKT3	GSK3B	0.62
EGFR	MTOR	0.63
ILK	PI4KA	0.63
CDK9	OXSR1	0.63
CDK14	CDK14	0.75
PAK1	LRRK1	0.63
CDK4	ULK1	0.63
PRKDC	GSK3B	0.52
PRKDC	GSK3A	0.52
OXSR1	PRKDC	0.63
CDK4	STK3	0.63
STK3	AKT1	0.75
CDK9	FGFR2	0.63
PINK1	IRAK1	0.73
CDK9	CSK	0.63
JAK3	TYK2	0.63
CDC7	CDC7	0.52
NUAK2	LATS1	0.52
PAK1	NEK9	0.63
CDK5	CSK	0.63
BRDT	CDK9	0.73
RIOK2	PRKDC	0.63
RIOK2	PAK2	0.63
RIOK2	PAK1	0.63
STK24	STK24	0.75
ILK	ARAF	0.63
ILK	ALK	0.63
PINK1	AKT1	0.63
STK4	CSK	0.63
STK25	PRKDC	0.63
STK4	CDK9	0.63
AURKB	AURKC	0.88
CDK5	FGFR2	0.63
CDK4	CDK4	0.84
GSK3B	LRRK2	0.78
TXK	KIT	0.75
NEK1	LRRK1	0.78
STK4	AURKB	0.72
MET	FGR	0.75
LRRK1	GAK	0.78
LRRK1	EPHA8	0.78
KIT	PTK6	0.75
LRRK1	MATK	0.78
LRRK2	PLK1	0.68
STK33	LRRK2	0.63
LRRK2	TTK	0.63
LYN	MET	0.87
MET	BTK	0.75
BLK	KIT	0.75
KIT	ABL2	0.75
BLK	MET	0.75
LRRK2	PAK6	0.85
KIT	ZAP70	0.75
MET	HCK	0.75
LRRK1	EGFR	0.88
KIT	FES	0.75
FYN	ERBB2	0.78
LRRK1	RET	0.78
MKNK2	LRRK2	0.63
CDK8	CDK9	0.78
LRRK2	CDK2	0.63
ABL1	LRRK2	0.63
LRRK2	STK40	0.68
LRRK1	PAK6	0.78
MET	FES	0.75
LRRK2	MATK	0.78
TEC	MET	0.75
TXK	MET	0.75
LRRK2	NEK1	0.78
AURKC	LRRK2	0.63
STK3	AURKB	0.72
FGFR2	LRRK1	0.78
TRIB2	LRRK2	0.63
LRRK2	AKT2	0.63
LCK	MET	0.75
GAK	LRRK2	0.89
MET	ZAP70	0.75
PRKDC	MTOR	0.63
KIT	FGR	0.75
LRRK2	ABL2	0.63
CDK19	CDK9	0.56
PTK6	MET	0.75
MET	ABL2	0.75
MET	MATK	0.75
MET	ITK	0.75
LATS2	LATS2	0.87
HIPK4	HIPK4	0.63
CDK19	CDK19	0.63
EGFR	VRK1	0.63
EGFR	AKT2	0.63
CDKL2	CDKL2	0.63
SRPK2	SRPK2	0.84
MOK	INSR	0.63
HIPK4	RAF1	0.63
CSK	ZAP70	0.56
CDKL1	CDKL1	0.63
EGFR	PLK1	0.63
EGFR	PDK1	0.63
LATS2	STK4	0.92
CDK15	CDK15	0.63
CLK3	CLK3	0.83
CDK18	CDK18	0.63
CDK15	ROCK1	0.63
ATM	CDK9	0.52
CDK20	CDK20	0.63
AURKB	MARK2	0.63
CDK20	RAF1	0.63
CDK16	CDK16	0.63
AURKB	ABR	0.63
LATS2	PAK4	0.63
MOK	MOK	0.63
ABL1	LATS2	0.65
SRPK3	SRPK3	0.63
CDK17	CDK17	0.63
RIPK3	EPHA4	0.83
EGFR	TBK1	0.63
DYRK3	DYRK3	0.63
ICK	ICK	0.63
EGFR	OXSR1	0.63
HIPK3	HIPK3	0.63
NEK6	NEK6	0.52
CDK10	CDK10	0.63
NUAK1	PLK1	0.63
DYRK4	DYRK4	0.7
LATS2	TBK1	0.63
CDKL3	CDKL3	0.63
SRPK2	CDK13	0.76
EGFR	CDK5	0.63
CDK4	JAK3	0.82
